"image_id","image_name","roi_id","shape_id","type","z","t","channel","area (µm²)","length (µm)","points","min","max","sum","mean","std_dev","Text","Points","counts_CD3+ CD4- CD8- TCRgd-","counts_CD3+ CD4+ TCRgd- CD8-","counts_CD3+ CD8+ TCRgd- CD4-","counts_CD3+ TCRgd+ CD4- CD8-","counts_NA","area_um2"
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36302,40148,"polyline",NA,NA,NA,NA,487.278,NA,NA,NA,NA,NA,NA,"MUC6_region2a","13517.75,12628.27 13518.09,12593.15 13526.64,12552.45 13536.16,12531.74 13588.15,12491.79 13637.78,12447.95 13656.83,12436.33 13682.61,12426.86 13698.84,12424.56 13751.59,12424.03 13767.00,12426.74 13784.86,12433.51 13801.83,12445.99 13818.19,12465.10 13830.50,12488.42 13833.82,12504.70 13833.82,12564.82 13831.11,12575.86 13798.10,12630.20 13784.80,12646.67 13752.53,12665.02 13719.76,12666.90 13681.60,12658.46 13657.78,12657.98 13643.40,12665.05 13617.84,12687.90 13601.69,12689.37 13584.01,12685.16 13546.56,12669.41 13529.21,12654.81 13517.25,12619.02 13515.39,12590.28",1,0,5,9,10,15503.4418438673
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36303,40149,"polyline",NA,NA,NA,NA,378.584,NA,NA,NA,NA,NA,NA,"control_region2a","13347.24,12832.49 13356.78,12809.74 13409.82,12741.44 13446.01,12706.17 13477.79,12689.65 13517.52,12687.20 13538.55,12694.68 13586.31,12727.19 13601.97,12746.05 13609.80,12762.81 13612.42,12813.71 13608.57,12834.23 13603.04,12845.59 13591.54,12856.29 13554.65,12878.24 13517.79,12890.34 13469.52,12894.55 13399.62,12894.55 13381.65,12889.46 13366.33,12879.04 13351.46,12855.17 13351.96,12821.49",1,0,1,2,4,10198.1133736372
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36304,40150,"polyline",NA,NA,NA,NA,335.924,NA,NA,NA,NA,NA,NA,"control_region2b","13603.80,12885.08 13582.48,12911.92 13578.93,12927.45 13579.82,12950.08 13587.97,12976.86 13598.75,12991.68 13615.61,13009.31 13640.56,13025.50 13661.19,13030.25 13712.81,13030.84 13745.53,13024.30 13789.85,13006.91 13813.95,12975.35 13818.40,12958.73 13818.30,12941.59 13811.55,12917.02 13782.92,12887.99 13753.84,12872.78 13687.16,12857.49 13644.36,12857.88 13624.90,12862.52 13610.92,12869.59 13592.73,12889.53",2,0,1,5,11,8226.9834702611
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36305,40151,"polyline",NA,NA,NA,NA,214.472,NA,NA,NA,NA,NA,NA,"MUC6_region2b","13444.63,12319.57 13423.02,12293.68 13419.69,12285.51 13421.31,12252.32 13425.10,12242.69 13437.79,12229.42 13466.62,12222.87 13497.78,12220.99 13533.39,12232.69 13551.11,12246.41 13561.04,12266.78 13564.78,12303.19 13557.36,12317.34 13546.01,12329.09 13516.90,12342.76 13493.37,12344.89 13472.68,12340.02 13443.39,12318.09",0,0,2,0,6,3481.1878875494
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36306,40152,"polyline",NA,NA,NA,NA,284.899,NA,NA,NA,NA,NA,NA,"MUC6_region2c","13656.46,12353.81 13650.30,12333.99 13651.06,12316.68 13664.64,12287.71 13689.27,12255.43 13727.56,12242.57 13798.12,12243.23 13840.14,12246.97 13852.63,12259.57 13854.19,12300.04 13847.46,12318.57 13827.06,12347.23 13787.43,12372.14 13768.50,12378.09 13747.23,12378.23 13717.99,12366.74 13700.59,12366.49 13680.32,12370.61 13664.99,12360.97 13655.17,12344.47",2,0,0,3,2,5498.35575002432
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36307,40153,"polyline",NA,NA,NA,NA,198.163,NA,NA,NA,NA,NA,NA,"MUC6_region2d","13471.48,12034.81 13455.10,12008.18 13451.03,11995.92 13450.38,11964.03 13459.87,11939.57 13479.72,11929.61 13515.31,11928.55 13543.30,11934.71 13569.28,11950.36 13578.98,11971.03 13580.93,11991.02 13574.35,12008.27 13558.95,12026.70 13539.16,12034.93 13510.93,12039.01 13481.66,12037.13 13471.07,12028.22",0,0,1,1,3,2935.4508947134
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36308,40154,"polyline",NA,NA,NA,NA,199.158,NA,NA,NA,NA,NA,NA,"MUC6_region2e","13243.16,12089.22 13256.10,12066.79 13270.54,12030.99 13275.95,12028.50 13309.95,12028.50 13335.44,12034.07 13357.51,12047.78 13371.86,12070.37 13375.49,12091.01 13365.65,12119.86 13352.30,12133.56 13317.98,12139.94 13288.75,12140.21 13264.34,12131.64 13251.95,12119.89 13245.21,12103.47 13243.64,12082.58",0,0,1,0,6,2892.31650316715
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36309,40155,"polyline",NA,NA,NA,NA,163.959,NA,NA,NA,NA,NA,NA,"MUC6_region2f","13266.52,12210.90 13267.59,12194.37 13279.75,12185.68 13317.62,12178.18 13345.52,12177.90 13366.19,12181.40 13385.22,12188.71 13402.63,12200.28 13406.25,12211.17 13398.28,12218.42 13371.06,12229.64 13311.34,12235.20 13293.81,12232.42 13279.40,12225.56 13269.50,12217.41 13267.15,12207.14",0,0,0,1,4,1530.16877067089
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36310,40156,"polyline",NA,NA,NA,NA,441.248,NA,NA,NA,NA,NA,NA,"control_region2c","13314.08,11867.11 13300.44,11811.54 13298.76,11783.09 13315.66,11752.66 13331.64,11734.56 13376.16,11696.10 13411.58,11685.30 13442.91,11653.30 13477.03,11632.76 13533.57,11616.04 13556.20,11617.47 13578.03,11630.01 13590.96,11649.56 13593.61,11660.92 13590.48,11682.10 13579.93,11701.12 13564.03,11717.81 13550.65,11726.88 13500.06,11746.19 13452.92,11778.02 13440.88,11795.57 13411.88,11859.63 13389.46,11886.14 13371.25,11895.09 13341.16,11894.29 13321.28,11878.12 13313.53,11856.86",1,0,2,8,8,9785.32753264904
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36311,40157,"polyline",NA,NA,NA,NA,334.832,NA,NA,NA,NA,NA,NA,"MUC6_region3a","19682.18,53034.57 19682.51,53025.50 19690.98,53004.71 19729.98,52960.19 19742.64,52914.10 19752.85,52891.02 19784.13,52866.02 19828.47,52845.13 19871.58,52840.17 19882.77,52843.79 19894.75,52852.52 19898.57,52859.65 19898.97,52876.27 19890.51,52907.51 19848.18,52981.88 19796.12,53019.30 19749.54,53048.07 19731.36,53055.65 19698.97,53059.06 19686.22,53048.61 19682.39,53030.16",1,0,1,1,1,6333.54360580444
