,source,mor,target
0,CALM1,-1,TRPC1
1,CALM3,-1,TRPC1
2,CALM2,-1,TRPC1
3,CAV1,1,TRPC1
5,MDFI,-1,TRPC1
6,ITPR2,1,TRPC1
9,STIM1,1,TRPC1
10,TRPC1,1,TRPC3
11,TRPC3,1,TRPC1
12,TRPC1,1,TRPC4
13,TRPC4,1,TRPC1
14,TRPC1,1,TRPC5
15,TRPC5,1,TRPC1
16,TRPC1,-1,TRPC6
17,TRPC1,1,PKD2
18,PKD2,1,TRPC1
19,TRPC1,1,TRPV4
20,TRPV4,1,TRPC1
21,TRPC1,-1,TRPV6
22,CALM1,-1,TRPC3
23,CALM3,-1,TRPC3
24,CALM2,-1,TRPC3
26,EPOR,1,TRPC3
28,ITPR1,1,TRPC3
29,ITPR3,1,TRPC3
31,ORAI1,1,TRPC3
32,PRKG1,-1,TRPC3
39,SLC9A3R1,1,TRPC4
44,TRPC5,-1,TRPC6
45,CALM1,1,TRPC6
46,CALM3,1,TRPC6
47,CALM2,1,TRPC6
48,FYN,1,TRPC6
49,MX1,1,TRPC6
53,PRKG1,1,TRPC7
55,CALM1,1,TRPV1
56,CALM3,1,TRPV1
57,CALM2,1,TRPV1
59,CDK5,1,TRPV1
65,SRC,1,TRPV1
68,CALM1,1,TRPV4
71,FYN,1,TRPV4
75,LYN,1,TRPV4
76,MAP7,1,TRPV4
78,PACSIN3,1,TRPV4
79,SRC,1,TRPV4
80,PKD2,1,TRPV4
84,CALB1,1,TRPV5
85,CALM1,-1,TRPV5
86,CALM3,-1,TRPV5
87,CALM2,-1,TRPV5
88,KL,1,TRPV5
96,CALM1,-1,TRPV6
97,CALM3,-1,TRPV6
98,CALM2,-1,TRPV6
103,PTPN1,-1,TRPV6
106,S100A10,1,TRPV6
119,TRPM6,1,TRPM7
124,PRKACA,-1,MCOLN1
125,MCOLN2,1,MCOLN1
126,MCOLN1,1,MCOLN2
128,MCOLN1,1,MCOLN3
129,MCOLN2,1,MCOLN3
131,KIF3A,1,PKD2
134,CASP3,-1,EIF3J
136,RNF8,1,RXRA
139,MAPK14,1,MAPKAPK2
140,MAPKAPK2,1,HNRNPA0
143,MAPKAPK2,-1,PARN
145,JAK2,1,EPOR
147,ESPN,1,MYO15A
148,GJB6,1,GJB2
149,GJB2,1,GJB6
156,HES5,-1,ATOH1
157,ATOH1,1,HES5
159,ZFP36,-1,TNF
163,DLL1,1,NOTCH1
172,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,CRTC2
177,MYO7A,1,PCDH15
178,PCDH15,1,MYO7A
190,KEAP1,-1,GABPA
193,IGF2BP1,1,BTRC
196,NFAT5,1,AKR1B1
201,AKT1,1,CHUK
204,PIK3R1,1,AKT1
211,CASP3,1,ACIN1
212,CDKN1A,-1,CDK1
214,TP53,1,ATF3
216,ATM,1,TERF2
220,ATR,1,XPA
221,CSNK2A1_CSNK2B,-1,H4C2
226,E2F1,1,CDCA4
229,IGF1,1,IGF1R
231,MMP14,1,MMP2
233,ABL1,1,TP73
234,ABL1,-1,PRKDC
237,BTRC_CUL1_SKP1,-1,PER2
239,BTRC_CUL1_SKP1,-1,PER1
242,BMAL1,1,CRY1
243,CRY1,-1,BMAL1
246,ATAD2,1,ESR1
250,PCNA,1,POLI
252,PCNA,1,POLH
256,USP7,1,MDM2
257,USP7,1,MDM4
260,RBL2,1,E2F5
261,RBL2,1,E2F4
263,RNF8,1,H2AC20
265,MDC1,1,RNF8
266,PRKN,-1,RANBP2
275,PRKN,-1,ATXN2
276,BACE2,1,APP
278,BACE1,1,APP
279,XRCC4,1,PNKP
281,ADAM17,1,APP
282,ADAM10,1,APP
285,PREX2,-1,PTEN
286,PINK1,1,TRAP1
288,PTPRD,-1,STAT3
290,PINK1,1,PRKN
293,XRCC1,1,PNKP
294,PRKCA,1,VCL
297,PIN1,1,BRAF
299,CDK2,1,MYC
300,HBP1,-1,MYC
302,TRRAP,1,MYC
307,PDPK1,1,PAK1
309,PAK1,1,PXN
311,PAK1,1,FLNA
312,CASP3,1,PAK2
314,PTPN12,-1,PTK2
317,SMG1,1,UPF1
320,ATM,1,USP28
321,MAP2K4,1,MAPK8
322,MAP3K7,1,MAP2K4
323,PIK3R1,1,RAC1
326,ULK1,1,ATG13
327,ULK1,1,RB1CC1
329,MTOR,-1,ATG13
331,SH3GLB1,1,UVRAG
332,ATG13,1,RB1CC1
333,MTOR,-1,ULK2
334,BECN1,1,PIK3R4
336,TIAM1,1,RAC1
337,HRAS,1,TIAM1
339,ATG10,1,ATG12
342,AKT1,-1,AKT1S1
343,DAPK1,-1,CAMKK2
347,UVRAG,1,PIK3R4
349,ULK2,1,ATG13
353,AKT1S1,-1,RPTOR
354,MTOR,-1,AKT1S1
357,RB1CC1,1,ULK2
358,AKT1,1,S1PR1
360,ATG10,1,ATG5
362,ATG7,1,ATG3
363,HRAS,1,PLCE1
365,MAPK14,1,MAPKAPK5
366,MAPKAPK5,1,TP53
367,ATG5,1,ATG16L1
370,BNIP3,-1,BCL2
371,BNIP3,-1,BCL2L1
372,SPNS1,-1,BCL2
373,SPNS1,-1,BCL2L1
376,DAPK1,1,MCM3
381,CAPN1,-1,BCL2L1
382,CAPN2,1,BID
383,CAPN1,1,BID
